------------------------------------------------------------------------------------------------------------
Test id: 1
Note: This are the results from a SINGLE observation using the following values
Compensation: 0.0€
OC probability: 1%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 71  | 25      22   | 4      15     21   | 302      758      1092 | 4,0     27,0    1695,4 | 25       27   |
 72  | 25      20   | 13     12     19   | 315      770      1111 | 16,0    21,6    1733,0 | 25       28   |
 73  | 7       6    | 6      19     23   | 321      789      1134 | 6,0     34,2    1773,2 | 7        11   |
 74  | 20      22   | 2      5      7    | 323      794      1141 | 2,0     9,0     1784,2 | 20       26   |
 75  | 18      22   | 7      13     16   | 330      807      1157 | 7,0     23,4    1814,6 | 18       32   |
 76  | 17      10   | 0      18     26   | 330      825      1183 | 0,0     32,4    1847,0 | 17       16   |
 77  | 8       7    | 7      10     12   | 337      835      1195 | 7,0     18,0    1872,0 | 8        11   |
 78  | 19      19   | 0      8      10   | 337      843      1205 | 0,0     14,4    1886,4 | 19       20   |
 79  | 16      13   | 4      15     16   | 341      858      1221 | 4,0     27,0    1917,4 | 16       17   |
 80  | 12      10   | 7      9      11   | 348      867      1232 | 7,0     16,2    1940,6 | 12       16   |
 81  | 18      16   | 1      11     12   | 349      878      1244 | 1,0     19,8    1961,4 | 18       20   |
 82  | 9       12   | 9      9      14   | 358      887      1258 | 9,0     16,2    1986,6 | 9        18   |
 83  | 22      26   | 0      9      14   | 358      896      1272 | 0,0     16,2    2002,8 | 22       30   |
 84  | 7       15   | 3      19     23   | 361      915      1295 | 3,0     34,2    2040,0 | 7        22   |
 85  | 9       14   | 0      7      16   | 361      922      1311 | 0,0     12,6    2052,6 | 9        20   |
 86  | 17      29   | 0      9      15   | 361      931      1326 | 0,0     16,2    2068,8 | 17       34   |
 87  | 13      21   | 0      17     26   | 361      948      1352 | 0,0     30,6    2099,4 | 13       29   |
 88  | 8       10   | 0      13     25   | 361      961      1377 | 0,0     23,4    2122,8 | 8        14   |
 89  | 21      14   | 1      7      10   | 362      968      1387 | 1,0     12,6    2136,4 | 21       18   |
 90  | 14      15   | 10     11     13   | 372      979      1400 | 10,0    19,8    2166,2 | 14       20   |
 91  | 22      28   | 5      9      12   | 377      988      1412 | 5,0     16,2    2187,4 | 22       36   |
 92  | 12      15   | 1      21     27   | 378      1009     1439 | 1,0     37,8    2226,2 | 12       24   |
 93  | 5       5    | 0      12     19   | 378      1021     1458 | 0,0     21,6    2247,8 | 5        10   |
 94  | 18      17   | 1      4      7    | 379      1025     1465 | 1,0     7,2     2256,0 | 18       20   |
 95  | 11      13   | 6      12     13   | 385      1037     1478 | 6,0     21,6    2283,6 | 11       20   |
 96  | 19      21   | 0      11     14   | 385      1048     1492 | 0,0     19,8    2303,4 | 19       27   |
 97  | 18      26   | 8      11     15   | 393      1059     1507 | 8,0     19,8    2331,2 | 18       38   |
 98  | 9       8    | 0      18     31   | 393      1077     1538 | 0,0     32,4    2363,6 | 9        15   |
 99  | 23      18   | 0      9      11   | 393      1086     1549 | 0,0     16,2    2379,8 | 23       22   |
 100 | 9       19   | 9      14     15   | 402      1100     1564 | 9,0     25,2    2414,0 | 9        26   |
 101 | 20      25   | 0      9      21   | 402      1109     1585 | 0,0     16,2    2430,2 | 20       30   |
 102 | 27      23   | 2      18     24   | 404      1127     1609 | 2,0     32,4    2464,6 | 27       29   |
 103 | 27      22   | 12     15     22   | 416      1142     1631 | 14,0    27,0    2505,6 | 27       29   |
 104 | 17      13   | 9      18     22   | 425      1160     1653 | 9,0     32,4    2547,0 | 17       20   |
 105 | 19      24   | 4      13     15   | 429      1173     1668 | 4,0     23,4    2574,4 | 19       29   |
 106 | 25      22   | 2      17     20   | 431      1190     1688 | 2,0     30,6    2607,0 | 25       31   |
 107 | 7       10   | 4      21     25   | 435      1211     1713 | 4,0     37,8    2648,8 | 7        16   |
 108 | 5       16   | 0      7      7    | 435      1218     1720 | 0,0     12,6    2661,4 | 5        25   |
 109 | 6       13   | 0      5      20   | 435      1223     1740 | 0,0     9,0     2670,4 | 6        18   |
 110 | 21      22   | 0      6      15   | 435      1229     1755 | 0,0     10,8    2681,2 | 21       25   |
 111 | 21      26   | 3      18     20   | 438      1247     1775 | 3,0     32,4    2716,6 | 21       31   |
 112 | 20      24   | 2      19     26   | 440      1266     1801 | 2,0     34,2    2752,8 | 20       29   |
 113 | 17      18   | 9      11     20   | 449      1277     1821 | 9,0     19,8    2781,6 | 17       27   |
 114 | 10      10   | 2      15     21   | 451      1292     1842 | 2,0     27,0    2810,6 | 10       16   |
 115 | 21      23   | 0      10     12   | 451      1302     1854 | 0,0     18,0    2828,6 | 21       27   |
 116 | 13      15   | 9      12     19   | 460      1314     1873 | 9,0     21,6    2859,2 | 13       23   |
 117 | 28      22   | 2      11     17   | 462      1325     1890 | 2,0     19,8    2881,0 | 28       28   |
 118 | 23      25   | 12     16     21   | 474      1341     1911 | 14,0    28,8    2923,8 | 23       32   |
 119 | 29      13   | 4      19     24   | 478      1360     1935 | 4,0     34,2    2962,0 | 29       21   |
 120 | 8       15   | 18     11     16   | 496      1371     1951 | 26,0    19,8    3007,8 | 8        20   |
--------------------
Compensation: 1.8€
OC probability: 75%

Total cost: (2830,9 ; 2836,6)

Maximum number of packages stored: (59 ; 59)

--------------------

Best compensation: 0.5€
OC probability: 25%

